#role	situation	bx	by	xa	ya	xb	yb	xc	yc	d	wl	t	シュート	パス	ボールゲット	クリア	アクティブポジショニング	カバー	ウェイトパス
β	s1	0.81818 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.01639 	-1.00000 	0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
β	s1	0.81818 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.01639 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
γ	s1	0.81818 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.55611 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s1	0.81818 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.55611 	-1.00000 	-0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s1	0.81818 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.55611 	-1.00000 	-0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s1	0.81818 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.55611 	-1.00000 	0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s1	0.81818 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.55611 	-1.00000 	0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s1	0.81818 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.55611 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
#	0	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	-0.14237 	0.00000 	-1.40000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
#	0	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	-0.14237 	0.00000 	-1.40000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
#	0	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	-0.14237 	0.00000 	-1.40000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
α	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.14237 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.14237 	-1.00000 	-0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.14237 	-1.00000 	-0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.53645 	-1.00000 	0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.53645 	-1.00000 	0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.53645 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
β	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.53645 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
β	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.53645 	-1.00000 	-0.60000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
β	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.53645 	-1.00000 	-0.20000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
β	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.25034 	-1.00000 	0.20000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
β	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.25034 	-1.00000 	0.60000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
β	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.25034 	-1.00000 	1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
γ	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.25034 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.25034 	-1.00000 	-0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.25034 	-1.00000 	-0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.36364 	-1.00000 	0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.36364 	-1.00000 	0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s2	0.00000 	0.00000 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.36364 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
#	0	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.36364 	0.00000 	-1.40000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
#	0	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.36364 	0.00000 	-1.40000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
#	0	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	0.36364 	0.00000 	-1.40000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
α	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.06017 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.06017 	-1.00000 	-0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.06017 	-1.00000 	-0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.06017 	-1.00000 	0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.06017 	-1.00000 	0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.06017 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
β	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.71252 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 
β	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.71252 	-1.00000 	-0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 
β	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.71252 	-1.00000 	-0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 
β	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.71252 	-1.00000 	0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 
β	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.71252 	-1.00000 	0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 
β	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.71252 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 
γ	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.90909 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
γ	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.90909 	-1.00000 	-0.60000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
γ	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.90909 	-1.00000 	-0.20000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
γ	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.90909 	-1.00000 	0.20000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
γ	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.90909 	-1.00000 	0.60000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
γ	s3	-0.63636 	-0.45455 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.90909 	-1.00000 	1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
#	0	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.15708 	0.00000 	-1.40000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
#	0	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.15708 	0.00000 	-1.40000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
#	0	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	0.15708 	0.00000 	-1.40000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
α	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.15708 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
α	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.15708 	-1.00000 	-0.60000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
α	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.15708 	-1.00000 	-0.20000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
α	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.46587 	-1.00000 	0.20000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
α	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.46587 	-1.00000 	0.60000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
α	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.46587 	-1.00000 	1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
β	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.46587 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
β	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.46587 	-1.00000 	-0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
β	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.46587 	-1.00000 	-0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
β	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.15708 	-1.00000 	0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
β	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.15708 	-1.00000 	0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
β	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.15708 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
γ	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.15708 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.15708 	-1.00000 	-0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.15708 	-1.00000 	-0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.90909 	-1.00000 	0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.90909 	-1.00000 	0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s4	0.72727 	-0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.90909 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
#	0	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	-0.90909 	0.00000 	-1.40000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
#	0	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	-0.90909 	0.00000 	-1.40000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
#	0	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	-0.90909 	0.00000 	-1.40000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
α	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.16186 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.16186 	-1.00000 	-0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.16186 	-1.00000 	-0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.16186 	-1.00000 	0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.16186 	-1.00000 	0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.16186 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
β	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.46587 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
β	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.46587 	-1.00000 	-0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
β	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.46587 	-1.00000 	-0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
β	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.46587 	-1.00000 	0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
β	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.46587 	-1.00000 	0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
β	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.46587 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
γ	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.26295 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.26295 	-1.00000 	-0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.26295 	-1.00000 	-0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.26295 	-1.00000 	0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.26295 	-1.00000 	0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
γ	s5	-0.09091 	0.36364 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.26295 	-1.00000 	1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 
#	0	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	-0.54545 	0.00000 	-1.40000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
#	0	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	0.00000 	-0.54545 	0.00000 	-1.40000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
#	0	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	#VALUE!	-0.54545 	0.00000 	-1.40000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 
α	s6	-0.72727 	-0.63636 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.54545 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s6	-0.72727 	-0.63636 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.54545 	-1.00000 	-0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s6	-0.72727 	-0.63636 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	-0.54545 	-1.00000 	-0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s6	-0.72727 	-0.63636 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.36666 	-1.00000 	0.20000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
α	s6	-0.72727 	-0.63636 	0.72727 	-0.45455 	-0.09091 	0.45455 	-0.72727 	-0.18182 	0.36666 	-1.00000 	0.60000 	-1.00000 	-1.00000 	-1.00000 	-1.00000 	1.00000 	-1.00000 	-1.00000 
